iter	RMSE
0	37.61119854
1	36.63926369
2	35.69001759
3	34.81848682
4	34.0014493
5	33.18057476
6	32.45349102
7	31.73522361
8	31.07174625
9	30.45027993
10	29.86652063
11	29.34989493
12	28.81414287
13	28.31166285
14	27.85311943
15	27.3972807
16	27.04036098
17	26.59236144
18	26.2180645
19	25.88396757
20	25.55484404
21	25.22293442
22	24.94661804
23	24.6759198
24	24.40474688
25	24.15959635
26	23.91132171
27	23.71256622
28	23.53039227
29	23.35104785
30	23.16721521
31	23.01968288
32	22.87035629
33	22.72174735
34	22.58007995
35	22.43926339
36	22.31426858
37	22.20706834
38	22.08839265
39	21.96939961
40	21.86933732
41	21.77720271
42	21.6993158
43	21.61539638
44	21.51121948
45	21.43250572
46	21.35500245
47	21.26652316
48	21.19449585
49	21.13650758
50	21.05956187
51	21.00071439
52	20.95624331
53	20.89076687
54	20.83439825
55	20.78504098
56	20.77429233
57	20.72336106
58	20.68109877
59	20.65548759
60	20.59382548
61	20.54390554
62	20.50414607
63	20.45781455
64	20.41704418
65	20.38216543
66	20.33558237
67	20.29677107
68	20.28367755
69	20.26900892
70	20.22707378
71	20.21501393
72	20.17433931
73	20.16210652
74	20.1501879
75	20.14236576
76	20.12107026
77	20.0826343
78	20.05562467
79	20.02299183
80	19.97525116
81	19.93485445
82	19.92332484
83	19.89882637
84	19.86511535
85	19.83400002
86	19.80201647
87	19.79553687
88	19.7819251
89	19.74704227
90	19.70711513
91	19.69786255
92	19.678063
93	19.64306308
94	19.60541279
95	19.56781799
96	19.5427889
97	19.52324635
98	19.4985849
99	19.47412246
100	19.46618355
101	19.43024628
102	19.3967633
103	19.36821378
104	19.36286602
105	19.3482102
106	19.31537851
107	19.29162795
108	19.2708338
109	19.24618549
110	19.24058138
111	19.21145321
112	19.19098759
113	19.16941278
114	19.14557196
115	19.12235149
116	19.10220608
117	19.07730041
118	19.04411496
119	19.02424248
120	19.0012146
121	18.98154522
122	18.97720522
123	18.96049111
124	18.94269531
125	18.92537351
126	18.92076754
127	18.90114084
128	18.88118772
129	18.87856942
130	18.85248303
131	18.81705563
132	18.79506873
133	18.78954794
134	18.77337408
135	18.76364604
136	18.74975049
137	18.74668179
138	18.72133441
139	18.69913519
140	18.67404537
141	18.65764595
142	18.63488619
143	18.62941954
144	18.60704441
145	18.58842935
146	18.58037185
147	18.57521767
148	18.56995967
149	18.56480503
150	18.55763203
151	18.55122041
152	18.54005497
153	18.5316483
154	18.52935469
155	18.5107424
156	18.50683845
157	18.49172448
158	18.48780821
159	18.47153687
160	18.46256226
161	18.45817599
162	18.44623118
163	18.43621325
164	18.41484516
165	18.41199031
166	18.40702235
167	18.40171783
168	18.39307183
169	18.36601405
170	18.34166543
171	18.32724338
172	18.30921055
173	18.2927279
174	18.27060182
175	18.25111569
176	18.23678419
177	18.22939192
178	18.20734333
179	18.20375267
180	18.19259705
181	18.19012554
182	18.18687039
183	18.16762774
184	18.14925082
185	18.12925642
186	18.11490899
187	18.0916446
188	18.06419132
189	18.04005767
190	18.02265686
191	18.01306698
192	17.99704593
193	17.97553768
194	17.96075052
195	17.93969227
196	17.9218425
197	17.90103429
198	17.89786324
199	17.86917949
200	17.86180542
201	17.83775297
202	17.82272194
203	17.80232767
204	17.78642949
205	17.76669274
206	17.74787351
207	17.72683669
208	17.70880401
209	17.68834718
210	17.67091215
211	17.65117971
212	17.62576803
213	17.62272861
214	17.60531456
215	17.58450233
216	17.56056232
217	17.53993428
218	17.51708618
219	17.5000782
220	17.4808958
221	17.46234601
222	17.4443795
223	17.43493276
224	17.42309096
225	17.40275807
226	17.37554544
227	17.3558164
228	17.33422163
229	17.31806569
230	17.30067877
231	17.28577908
