iter	Passed	Remaining
0	23	23197
1	47	23555
2	74	24616
3	100	25082
4	153	30551
5	176	29221
6	198	28123
7	224	27782
8	247	27264
9	270	26803
10	295	26524
11	323	26657
12	351	26709
13	378	26675
14	417	27419
15	449	27647
16	472	27333
17	491	26838
18	513	26538
19	533	26163
20	553	25797
21	573	25490
22	595	25299
23	619	25176
24	643	25104
25	675	25301
26	704	25403
27	733	25480
28	759	25442
29	781	25273
30	809	25316
31	831	25149
32	852	24992
33	874	24840
34	893	24636
35	913	24461
36	933	24287
37	952	24122
38	975	24035
39	996	23925
40	1018	23821
41	1044	23827
42	1069	23797
43	1095	23798
44	1121	23807
45	1146	23777
46	1169	23705
47	1195	23717
48	1219	23670
49	1245	23672
50	1272	23685
51	1298	23667
52	1324	23663
53	1350	23659
54	1377	23671
55	1405	23693
56	1431	23687
57	1465	23804
58	1491	23791
59	1513	23709
60	1560	24024
61	1581	23932
62	1612	23977
63	1640	23997
64	1669	24013
65	1694	23986
66	1719	23944
67	1742	23886
68	1771	23900
69	1794	23841
70	1824	23876
71	1857	23942
72	1892	24038
73	1916	23977
74	1941	23940
75	1972	23986
76	2004	24033
77	2061	24373
78	2091	24382
79	2119	24372
80	2142	24309
81	2166	24252
82	2186	24156
83	2207	24072
84	2231	24016
85	2252	23941
86	2277	23904
87	2298	23823
88	2320	23754
89	2350	23768
90	2386	23839
91	2419	23874
92	2453	23924
93	2490	24003
94	2521	24016
95	2560	24108
96	2593	24147
97	2620	24123
98	2646	24089
99	2667	24005
100	2688	23926
101	2712	23879
102	2735	23821
103	2758	23767
104	2783	23729
105	2807	23675
106	2828	23603
107	2849	23537
108	2875	23502
109	2905	23511
110	2936	23521
111	2969	23546
112	3000	23549
113	3024	23505
114	3055	23510
115	3087	23530
116	3119	23546
117	3149	23537
118	3188	23603
119	3216	23590
120	3259	23680
121	3287	23658
122	3311	23610
123	3333	23547
124	3357	23500
125	3381	23457
126	3405	23410
127	3431	23375
128	3461	23373
129	3486	23329
130	3509	23281
131	3533	23234
132	3556	23184
133	3580	23140
134	3601	23077
135	3622	23014
136	3643	22952
137	3664	22890
138	3685	22826
139	3708	22783
140	3735	22756
141	3760	22719
142	3784	22682
143	3808	22639
144	3829	22579
145	3858	22571
146	3879	22513
147	3900	22452
148	3919	22386
149	3938	22318
150	3962	22279
151	3986	22241
152	4007	22185
153	4028	22132
154	4049	22074
155	4069	22017
156	4089	21959
157	4109	21898
158	4133	21861
159	4153	21807
160	4172	21741
161	4191	21680
162	4210	21621
163	4229	21560
164	4249	21507
165	4268	21445
166	4287	21385
167	4305	21320
168	4324	21261
169	4342	21202
170	4362	21147
171	4382	21095
172	4401	21041
173	4420	20982
174	4438	20926
175	4457	20870
176	4476	20815
177	4497	20770
178	4516	20717
179	4534	20657
180	4552	20600
181	4571	20548
182	4590	20496
183	4610	20445
184	4628	20392
185	4647	20340
186	4665	20285
187	4684	20234
188	4703	20182
189	4722	20134
190	4742	20089
191	4761	20040
192	4780	19989
193	4799	19939
194	4829	19938
195	4861	19940
196	4920	20055
197	4959	20089
198	5000	20126
199	5047	20191
200	5096	20257
201	5132	20277
202	5170	20300
203	5209	20328
204	5248	20354
205	5289	20386
206	5332	20430
207	5401	20566
208	5431	20557
209	5463	20554
210	5495	20550
211	5528	20549
212	5560	20543
213	5591	20536
214	5621	20525
215	5652	20517
216	5684	20513
217	5717	20508
218	5750	20505
219	5781	20498
220	5814	20494
221	5847	20493
222	5880	20488
223	5912	20482
224	5944	20475
225	5973	20458
226	6006	20454
227	6038	20444
228	6070	20437
229	6103	20432
230	6134	20421
231	6169	20421
232	6201	20413
233	6232	20402
234	6265	20397
235	6299	20394
236	6331	20383
237	6364	20376
238	6396	20366
239	6428	20356
240	6460	20346
241	6489	20328
242	6522	20319
243	6554	20307
244	6586	20298
245	6618	20284
246	6649	20272
247	6685	20273
248	6722	20274
249	6757	20272
250	6793	20271
251	6827	20266
252	6861	20257
253	6896	20254
254	6930	20247
255	6960	20227
256	6992	20214
257	7024	20201
258	7055	20185
259	7086	20168
260	7120	20160
261	7151	20144
262	7184	20132
263	7215	20117
264	7248	20104
265	7279	20088
266	7312	20073
267	7343	20057
268	7374	20040
269	7407	20027
270	7436	20005
271	7469	19990
272	7500	19972
273	7531	19956
274	7562	19938
275	7592	19915
276	7624	19902
277	7656	19884
278	7689	19871
279	7721	19855
280	7753	19837
281	7785	19822
282	7818	19808
283	7847	19785
284	7880	19770
285	7911	19751
286	7944	19736
287	7977	19721
288	8009	19703
289	8039	19683
290	8070	19662
291	8101	19644
292	8135	19629
293	8166	19611
294	8198	19591
295	8228	19571
