iter	RMSE
0	11.21134721
1	11.15632642
2	11.08104538
3	11.01350249
4	10.9488137
5	10.88189555
6	10.81732691
7	10.75659771
8	10.70327595
9	10.65846009
10	10.61381013
11	10.5721817
12	10.53386424
13	10.48582012
14	10.43529248
15	10.40364863
16	10.35499847
17	10.31532877
18	10.27783807
19	10.23203745
20	10.19871602
21	10.1622011
22	10.12770003
23	10.09035322
24	10.05533101
25	10.01193383
26	9.972841643
27	9.948688076
28	9.915582859
29	9.886468221
30	9.860638905
31	9.823770744
32	9.794137854
33	9.768102781
34	9.73455207
35	9.706838354
36	9.675334753
37	9.649103372
38	9.624743764
39	9.599922051
40	9.579781135
41	9.559698464
42	9.545789579
43	9.524552066
44	9.498707088
45	9.47259063
46	9.451442358
47	9.44078196
48	9.416440938
49	9.390406158
50	9.367462269
51	9.355305008
52	9.341803485
53	9.320552261
54	9.302726979
55	9.28841035
56	9.270569417
57	9.254017246
58	9.237559864
59	9.235140373
60	9.231233206
61	9.21282195
62	9.195813246
63	9.174498927
64	9.162117429
65	9.160294413
66	9.14917883
67	9.127415969
68	9.109843322
69	9.091950197
70	9.081759371
71	9.067334996
72	9.055513106
73	9.038026627
74	9.022852982
75	9.013467949
76	8.993003897
77	8.978970746
78	8.969008
79	8.957959375
80	8.946734929
81	8.932709125
82	8.92143859
83	8.908389196
84	8.89222825
85	8.882476455
86	8.872101099
87	8.866126092
88	8.855233366
89	8.842833679
90	8.829103284
91	8.817862522
92	8.814386042
93	8.808595988
94	8.80131009
95	8.795040131
96	8.785035795
97	8.774155777
98	8.759858013
99	8.75823692
100	8.754470497
101	8.747557987
102	8.73850909
103	8.731508257
104	8.725991138
105	8.717423578
106	8.709633082
107	8.703181092
108	8.695144614
109	8.68868022
110	8.687543282
111	8.682889169
112	8.677467325
113	8.675667445
114	8.672133225
115	8.661769222
116	8.654415277
117	8.646613513
118	8.642001745
119	8.630717911
120	8.626129096
121	8.624620713
122	8.623387455
123	8.621546576
124	8.616959193
125	8.612086195
126	8.606536898
127	8.603355497
128	8.596614113
129	8.586825808
130	8.579847886
131	8.574276629
132	8.569154514
133	8.563621981
134	8.555090346
135	8.551648934
136	8.547905861
137	8.545185013
138	8.542246117
139	8.53586548
140	8.534565583
141	8.528979499
142	8.520872836
143	8.518507124
144	8.514003525
145	8.507149844
146	8.498821889
147	8.490524486
148	8.484371881
149	8.476892843
150	8.470638341
151	8.461098161
152	8.454905121
153	8.449194409
154	8.444545803
155	8.438873926
156	8.437017544
157	8.431769242
158	8.42662696
159	8.420196494
160	8.419442881
161	8.417713254
162	8.414487802
163	8.407860959
164	8.407126071
165	8.404893561
166	8.404009537
167	8.400045282
168	8.395891003
169	8.394522226
170	8.388829558
171	8.38315711
172	8.380426366
173	8.375985308
174	8.371437535
175	8.369567294
176	8.369163548
177	8.364100642
178	8.357018656
179	8.352561155
180	8.347784685
181	8.345586679
182	8.339454395
183	8.334292625
184	8.332657158
185	8.32918335
186	8.327300985
187	8.320044129
188	8.318228122
189	8.3137658
190	8.308224677
191	8.304260687
192	8.302581597
193	8.296443069
194	8.295824532
195	8.293876258
196	8.289660187
197	8.288381629
198	8.283889341
199	8.280917105
200	8.276326341
201	8.272000524
202	8.269322206
203	8.263978335
204	8.258426086
205	8.256098062
206	8.250919712
207	8.249827457
208	8.245888819
209	8.242929347
210	8.240652446
211	8.237391593
212	8.23114524
213	8.226371797
214	8.222707509
215	8.219040078
216	8.213998174
217	8.212768539
218	8.209490449
219	8.206359866
220	8.202488388
221	8.201881454
